Back to Contents,Data 1: U.S. Natural Gas Imports (MMcf)
Sourcekey,N9100US2
Date,U.S. Natural Gas Imports (MMcf)
1973-01-15 00:00:00,92694
1973-02-15 00:00:00,83870
1973-03-15 00:00:00,91581
1973-04-15 00:00:00,88407
1973-05-15 00:00:00,85844
1973-06-15 00:00:00,79121
1973-07-15 00:00:00,79428
1973-08-15 00:00:00,84400
1973-09-15 00:00:00,81157
1973-10-15 00:00:00,92151
1973-11-15 00:00:00,85784
1973-12-15 00:00:00,88466
1974-01-15 00:00:00,85815
1974-02-15 00:00:00,78919
1974-03-15 00:00:00,85190
1974-04-15 00:00:00,83371
1974-05-15 00:00:00,79764
1974-06-15 00:00:00,74245
1974-07-15 00:00:00,73247
1974-08-15 00:00:00,76037
1974-09-15 00:00:00,70511
1974-10-15 00:00:00,82625
1974-11-15 00:00:00,83107
1974-12-15 00:00:00,86454
1975-01-15 00:00:00,80824
1975-02-15 00:00:00,74496
1975-03-15 00:00:00,83380
1975-04-15 00:00:00,82132
1975-05-15 00:00:00,79818
1975-06-15 00:00:00,76307
1975-07-15 00:00:00,80037
1975-08-15 00:00:00,75311
1975-09-15 00:00:00,73606
1975-10-15 00:00:00,80468
1975-11-15 00:00:00,80761
1975-12-15 00:00:00,85867
1976-01-15 00:00:00,84395
1976-02-15 00:00:00,78024
1976-03-15 00:00:00,84910
1976-04-15 00:00:00,85940
1976-05-15 00:00:00,81650
1976-06-15 00:00:00,75785
1976-07-15 00:00:00,73108
1976-08-15 00:00:00,76539
1976-09-15 00:00:00,74125
1976-10-15 00:00:00,85257
1976-11-15 00:00:00,80926
1976-12-15 00:00:00,83110
1977-01-15 00:00:00,86944
1977-02-15 00:00:00,91751
1977-03-15 00:00:00,100826
1977-04-15 00:00:00,84474
1977-05-15 00:00:00,85697
1977-06-15 00:00:00,76247
1977-07-15 00:00:00,72499
1977-08-15 00:00:00,76453
1977-09-15 00:00:00,75446
1977-10-15 00:00:00,84828
1977-11-15 00:00:00,86300
1977-12-15 00:00:00,89536
1978-01-15 00:00:00,85796
1978-02-15 00:00:00,77256
1978-03-15 00:00:00,85621
1978-04-15 00:00:00,78313
1978-05-15 00:00:00,73829
1978-06-15 00:00:00,68327
1978-07-15 00:00:00,71557
1978-08-15 00:00:00,73604
1978-09-15 00:00:00,73236
1978-10-15 00:00:00,80197
1978-11-15 00:00:00,90783
1978-12-15 00:00:00,107026
