Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623099,-,-,-,40.01,-99.74,-6,705,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2002,1,1,0,30,0,0,0,0,0,0
2002,1,1,1,30,0,0,0,0,0,0
2002,1,1,2,30,0,0,0,0,0,0
2002,1,1,3,30,0,0,0,0,0,0
2002,1,1,4,30,0,0,0,0,0,0
2002,1,1,5,30,0,0,0,0,0,0
2002,1,1,6,30,0,0,0,0,0,0
2002,1,1,7,30,0,0,0,0,0,0
2002,1,1,8,30,27,352,51,25,0,25
2002,1,1,9,30,53,689,205,130,30,137
2002,1,1,10,30,65,832,348,201,33,212
2002,1,1,11,30,69,903,448,69,903,448
2002,1,1,12,30,69,931,491,69,931,491
2002,1,1,13,30,65,932,475,65,932,475
2002,1,1,14,30,58,916,405,236,126,284
2002,1,1,15,30,48,839,279,153,16,157
2002,1,1,16,30,32,653,121,73,187,98
2002,1,1,17,30,0,0,0,0,0,0
2002,1,1,18,30,0,0,0,0,0,0
2002,1,1,19,30,0,0,0,0,0,0
2002,1,1,20,30,0,0,0,0,0,0
2002,1,1,21,30,0,0,0,0,0,0
2002,1,1,22,30,0,0,0,0,0,0
2002,1,1,23,30,0,0,0,0,0,0
2002,1,2,0,30,0,0,0,0,0,0
2002,1,2,1,30,0,0,0,0,0,0
2002,1,2,2,30,0,0,0,0,0,0
2002,1,2,3,30,0,0,0,0,0,0
