Date,Temperature (F),Price ($/Mcf),Imports (MMcf),Production (MMcf),Solar Generation (1000 MWh),Consumption (MMcf),Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Natural Gas Generation (1000 MWh),Natural Gas Avg Cost ($/Mcf)
1973-01-01,,,92694.0,,,,,,,,,,,
1973-02-01,,,83870.0,,,,,,,,,,,
1973-03-01,,,91581.0,,,,,,,,,,,
1973-04-01,,,88407.0,,,,,,,,,,,
1973-05-01,,,85844.0,,,,,,,,,,,
1973-06-01,,,79121.0,,,,,,,,,,,
1973-07-01,,,79428.0,,,,,,,,,,,
1973-08-01,,,84400.0,,,,,,,,,,,
1973-09-01,,,81157.0,,,,,,,,,,,
1973-10-01,,,92151.0,,,,,,,,,,,
1973-11-01,,,85784.0,,,,,,,,,,,
1973-12-01,,,88466.0,,,,,,,,,,,
1974-01-01,,,85815.0,,,,,,,,,,,
1974-02-01,,,78919.0,,,,,,,,,,,
1974-03-01,,,85190.0,,,,,,,,,,,
1974-04-01,,,83371.0,,,,,,,,,,,
1974-05-01,,,79764.0,,,,,,,,,,,
1974-06-01,,,74245.0,,,,,,,,,,,
1974-07-01,,,73247.0,,,,,,,,,,,
1974-08-01,,,76037.0,,,,,,,,,,,
1974-09-01,,,70511.0,,,,,,,,,,,
1974-10-01,,,82625.0,,,,,,,,,,,
1974-11-01,,,83107.0,,,,,,,,,,,
1974-12-01,,,86454.0,,,,,,,,,,,
1975-01-01,,,80824.0,,,,,,,,,,,
1975-02-01,,,74496.0,,,,,,,,,,,
1975-03-01,,,83380.0,,,,,,,,,,,
1975-04-01,,,82132.0,,,,,,,,,,,
1975-05-01,,,79818.0,,,,,,,,,,,
1975-06-01,,,76307.0,,,,,,,,,,,
1975-07-01,,,80037.0,,,,,,,,,,,
1975-08-01,,,75311.0,,,,,,,,,,,
1975-09-01,,,73606.0,,,,,,,,,,,
1975-10-01,,,80468.0,,,,,,,,,,,
1975-11-01,,,80761.0,,,,,,,,,,,
1975-12-01,,,85867.0,,,,,,,,,,,
1976-01-01,,,84395.0,,,,,,,,,,,
1976-02-01,,,78024.0,,,,,,,,,,,
1976-03-01,,,84910.0,,,,,,,,,,,
1976-04-01,,,85940.0,,,,,,,,,,,
1976-05-01,,,81650.0,,,,,,,,,,,
1976-06-01,,,75785.0,,,,,,,,,,,
1976-07-01,,,73108.0,,,,,,,,,,,
1976-08-01,,,76539.0,,,,,,,,,,,
1976-09-01,,,74125.0,,,,,,,,,,,
1976-10-01,,,85257.0,,,,,,,,,,,
1976-11-01,,,80926.0,,,,,,,,,,,
1976-12-01,,,83110.0,,,,,,,,,,,
1977-01-01,,,86944.0,,,,,,,,,,,
1977-02-01,,,91751.0,,,,,,,,,,,
1977-03-01,,,100826.0,,,,,,,,,,,
1977-04-01,,,84474.0,,,,,,,,,,,
1977-05-01,,,85697.0,,,,,,,,,,,
1977-06-01,,,76247.0,,,,,,,,,,,
1977-07-01,,,72499.0,,,,,,,,,,,
1977-08-01,,,76453.0,,,,,,,,,,,
1977-09-01,,,75446.0,,,,,,,,,,,
1977-10-01,,,84828.0,,,,,,,,,,,
1977-11-01,,,86300.0,,,,,,,,,,,
1977-12-01,,,89536.0,,,,,,,,,,,
1978-01-01,,,85796.0,,,,,,,,,,,
1978-02-01,,,77256.0,,,,,,,,,,,
1978-03-01,,,85621.0,,,,,,,,,,,
1978-04-01,,,78313.0,,,,,,,,,,,
1978-05-01,,,73829.0,,,,,,,,,,,
1978-06-01,,,68327.0,,,,,,,,,,,
1978-07-01,,,71557.0,,,,,,,,,,,
1978-08-01,,,73604.0,,,,,,,,,,,
1978-09-01,,,73236.0,,,,,,,,,,,
1978-10-01,,,80197.0,,,,,,,,,,,
1978-11-01,,,90783.0,,,,,,,,,,,
1978-12-01,,,107026.0,,,,,,,,,,,
1979-01-01,,,102237.0,,,,,,,,,,,
1979-02-01,,,96612.0,,,,,,,,,,,
1979-03-01,,,112962.0,,,,,,,,,,,
1979-04-01,,,105864.0,,,,,,,,,,,
1979-05-01,,,104317.0,,,,,,,,,,,
1979-06-01,,,100633.0,,,,,,,,,,,
1979-07-01,,,103754.0,,,,,,,,,,,
1979-08-01,,,96985.0,,,,,,,,,,,
1979-09-01,,,97936.0,,,,,,,,,,,
1979-10-01,,,107418.0,,,,,,,,,,,
1979-11-01,,,114564.0,,,,,,,,,,,
1979-12-01,,,110099.0,,,,,,,,,,,
1980-01-01,,,118006.0,,,,,,,,,,,
1980-02-01,,,108192.0,,,,,,,,,,,
1980-03-01,,,108648.0,,,,,,,,,,,
1980-04-01,,,77257.0,,,,,,,,,,,
1980-05-01,,,70207.0,,,,,,,,,,,
1980-06-01,,,61256.0,,,,,,,,,,,
1980-07-01,,,60600.0,,,,,,,,,,,
1980-08-01,,,59966.0,,,,,,,,,,,
1980-09-01,,,60190.0,,,,,,,,,,,
1980-10-01,,,74355.0,,,,,,,,,,,
1980-11-01,,,88279.0,,,,,,,,,,,
1980-12-01,,,97806.0,,,,,,,,,,,
1981-01-01,,,91149.0,,,,,,,,,,,
1981-02-01,,,84706.0,,,,,,,,,,,
1981-03-01,,,79820.0,,,,,,,,,,,
1981-04-01,,,69337.0,,,,,,,,,,,
1981-05-01,,,62377.0,,,,,,,,,,,
1981-06-01,,,64923.0,,,,,,,,,,,
1981-07-01,,,66184.0,,,,,,,,,,,
1981-08-01,,,64450.0,,,,,,,,,,,
1981-09-01,,,67316.0,,,,,,,,,,,
1981-10-01,,,79204.0,,,,,,,,,,,
1981-11-01,,,81940.0,,,,,,,,,,,
1981-12-01,,,92544.0,,,,,,,,,,,
1982-01-01,,,98077.0,,,,,,,,,,,
1982-02-01,,,85337.0,,,,,,,,,,,
1982-03-01,,,81648.0,,,,,,,,,,,
