Net generation for all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=~ELEC.GEN.SUN-US-99.M~~~~~&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202501&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
19:44:21 GMT-0400 (Atlantic Standard Time)
Data source: U.S. Energy Information Administration
Month,all utility-scale solar thousand megawatthours
Jan 2025,15355.45712
Dec 2024,12942.0623
Nov 2024,13878.34018
Oct 2024,19524.80836
Sep 2024,20263.85436
Aug 2024,24055.33215
Jul 2024,24200.47301
Jun 2024,24293.63739
May 2024,22209.11726
Apr 2024,19101.07696
Mar 2024,15840.33949
Feb 2024,12489.1304
Jan 2024,9739.60357
Dec 2023,9112.50704
Nov 2023,10446.11045
Oct 2023,14120.71224
Sep 2023,15582.82385
Aug 2023,17744.05054
Jul 2023,18894.31191
Jun 2023,17833.69949
May 2023,17281.04775
Apr 2023,15061.64053
Mar 2023,12212.81238
Feb 2023,9434.58761
Jan 2023,7806.04484
Dec 2022,6777.13575
Nov 2022,8402.51271
Oct 2022,11941.50155
Sep 2022,13286.13522
Aug 2022,14502.35057
Jul 2022,15765.47097
Jun 2022,16052.33251
May 2022,15120.20823
Apr 2022,13401.63316
Mar 2022,11694.22208
Feb 2022,9026.75939
Jan 2022,7821.62574
Dec 2021,6090.86526
Nov 2021,7795.101
Oct 2021,9268.03855
Sep 2021,11214.24963
Aug 2021,11966.82782
Jul 2021,12191.6812
Jun 2021,12196.77663
May 2021,12457.16045
Apr 2021,10891.71409
Mar 2021,9296.18165
Feb 2021,6330.40705
Jan 2021,5559.24502
Dec 2020,5091.42256
Nov 2020,5766.51939
Oct 2020,7085.18487
Sep 2020,7732.32157
Aug 2020,9315.42156
Jul 2020,10609.77315
Jun 2020,9654.00577
May 2020,9653.40589
Apr 2020,7920.7291
Mar 2020,6349.64464
Feb 2020,5561.4092
Jan 2020,4458.87743
Dec 2019,3453.07527
Nov 2019,4363.99289
Oct 2019,6093.46647
Sep 2019,6817.21992
Aug 2019,7876.55371
Jul 2019,8132.64079
Jun 2019,7971.09298
May 2019,7161.89697
Apr 2019,6752.27638
Mar 2019,5898.62563
Feb 2019,3835.77281
Jan 2019,3580.20841
Dec 2018,3109.63979
Nov 2018,3742.76491
Oct 2018,4969.69097
Sep 2018,5960.90148
