#  Contiguous U.S. 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189512,50.33
189601,50.73
189602,51.43
189603,51.27
189604,51.22
189605,51.43
189606,51.61
189607,51.81
189608,51.86
189609,51.64
189610,51.73
189611,51.66
189612,51.98
189701,51.7
189702,51.57
189703,51.63
189704,51.53
189705,51.42
189706,51.28
189707,51.25
189708,51.17
189709,51.46
189710,51.73
189711,51.94
189712,51.54
189801,51.75
189802,51.92
189803,52.11
189804,52.07
189805,51.97
189806,52.07
189807,52.07
189808,52.18
189809,52.11
189810,51.81
189811,51.6
189812,51.42
189901,51.34
189902,50.52
189903,50.23
189904,50.22
189905,50.21
189906,50.15
189907,50.14
189908,50.05
189909,50
189910,50.2
189911,50.75
189912,50.99
190001,51.36
190002,51.8
190003,52.11
190004,52.19
190005,52.34
190006,52.48
190007,52.49
190008,52.58
190009,52.61
190010,52.81
190011,52.53
190012,52.76
190101,52.56
190102,52.48
190103,52.44
190104,52.25
190105,52.2
190106,52.05
190107,52.31
190108,52.34
190109,52.18
190110,52.1
190111,52.11
190112,51.86
190201,51.73
190202,51.87
190203,51.94
190204,52.06
190205,52.13
190206,52.09
190207,51.74
190208,51.59
190209,51.55
190210,51.46
190211,51.63
190212,51.57
190301,51.64
190302,51.39
190303,51.44
190304,51.39
190305,51.18
190306,51
190307,51
190308,50.96
190309,50.96
190310,50.92
190311,50.63
190312,50.61
190401,50.33
190402,50.6
190403,50.56
190404,50.5
190405,50.55
190406,50.66
190407,50.62
190408,50.6
190409,50.78
190410,50.78
190411,51.02
190412,51.15
190501,51.11
190502,50.72
190503,51
190504,51.09
190505,51
190506,51.07
190507,51.12
190508,51.26
190509,51.34
190510,51.15
190511,51.07
190512,50.99
190601,51.47
190602,52.03
190603,51.28
190604,51.47
190605,51.5
190606,51.45
190607,51.48
190608,51.43
190609,51.46
190610,51.53
190611,51.38
190612,51.72
190701,51.53
190702,51.68
190703,52.48
190704,52.05
190705,51.74
190706,51.61
190707,51.62
190708,51.53
190709,51.36
190710,51.46
190711,51.5
190712,51.47
190801,51.62
190802,51.41
190803,51.26
190804,51.7
190805,51.94
190806,52.04
190807,52.1
190808,52.09
190809,52.21
190810,52.04
190811,52.18
190812,52.07
190901,52.05
190902,52.22
190903,51.93
190904,51.61
190905,51.56
190906,51.72
190907,51.68
190908,51.86
190909,51.76
190910,51.86
190911,52.06
190912,51.42
191001,51.2
191002,50.72
191003,51.48
191004,51.86
191005,51.95
191006,51.9
191007,52.02
191008,51.87
191009,51.98
191010,52.21
191011,51.88
191012,52.41
191101,52.68
191102,53.05
191103,52.6
191104,52.3
191105,52.46
191106,52.67
191107,52.55
191108,52.53
191109,52.56
191110,52.32
191111,52
191112,52.02
191201,51.34
191202,51.13
191203,50.44
191204,50.48
191205,50.42
191206,50.09
191207,50.05
191208,49.99
191209,49.71
191210,49.75
191211,50.16
191212,50.22
191301,50.7
191302,50.57
191303,50.81
191304,50.88
191305,50.85
191306,50.98
191307,51.04
191308,51.31
191309,51.39
191310,51.26
191311,51.5
191312,51.53
191401,51.87
191402,51.87
191403,52.04
191404,52.01
191405,52.1
191406,52.19
191407,52.28
191408,52.14
191409,52.22
191410,52.52
191411,52.38
191412,51.83
191501,51.33
191502,51.86
191503,51.54
191504,51.84
191505,51.59
191506,51.32
191507,51.06
191508,50.93
191509,50.92
191510,50.93
191511,50.9
191512,51.43
191601,51.42
191602,51.18
191603,51.61
191604,51.25
191605,51.35
191606,51.36
191607,51.64
191608,51.77
191609,51.7
191610,51.43
191611,51.19
191612,50.84
191701,50.84
191702,50.6
191703,50.28
191704,50.14
191705,49.79
191706,49.85
191707,49.88
191708,49.81
191709,49.86
191710,49.72
191711,50
191712,50.05
191801,49.69
