Entity,Code,Year,Gas price
US Henry Hub,,1989,5.788696
US Henry Hub,,1990,5.5896735
US Henry Hub,,1991,5.0722165
US Henry Hub,,1992,6.044581
US Henry Hub,,1993,7.23587
US Henry Hub,,1994,6.5506654
US Henry Hub,,1995,5.754577
US Henry Hub,,1996,9.405209
US Henry Hub,,1997,8.614807
US Henry Hub,,1998,7.11077
US Henry Hub,,1999,7.7305813
US Henry Hub,,2000,14.417719
US Henry Hub,,2001,13.880359
US Henry Hub,,2002,11.364154
US Henry Hub,,2003,19.191402
US Henry Hub,,2004,19.956217
US Henry Hub,,2005,30.03964
US Henry Hub,,2006,22.996952
US Henry Hub,,2007,23.699545
US Henry Hub,,2008,30.169886
US Henry Hub,,2009,13.372311
US Henry Hub,,2010,14.94087
US Henry Hub,,2011,13.609527
US Henry Hub,,2012,9.374386
US Henry Hub,,2013,12.692318
US Henry Hub,,2014,14.795335
US Henry Hub,,2015,8.889641
US Henry Hub,,2016,9.599705
US Henry Hub,,2017,10.109982
US Henry Hub,,2018,10.630999
US Henry Hub,,2019,8.580218
US Henry Hub,,2020,6.7758794
US Henry Hub,,2021,13.088934
US Henry Hub,,2022,21.755375
US Henry Hub,,2023,8.626681
